inventory_id,nsn,mpn,cage_code,part_name,category_section,quantity,uom,storage_location,unit_price,total_value,condition,photo_url
INV-HMMWV-00041,4730-01-150-0879,14022700,12436,"REDUCER, BOSS",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00042,2940-00-082-6034,PH13,12436,"FILTER,FLUID 6.2 LITER",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00043,4330-01-398-8484,PF1218,12436,"FILTER ELEMENT,FLUI 6.5 LITER AND",Heating / Cooling,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00044,5331-01-183-0971,M83461/1-236,12436,O—RING tsi dei ev tees eine Sed we BME aE oe eee eS,Seals / Gaskets,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00045,4730-01-066-1278,MS51500A10-6,96906,"ADAPTER, STRAIGHT,PI 3/8-5/8",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00046,4730-00-728-2393,2023-6-10S,12436,"ELBOW,PIPE TO TUBE 3/8-5/8",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00047,5306-01-158-6224,9419032,12436,"BOLT,MACHINE 5/16-18 X 1.25",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00048,5310-01-119-3675,9418304,12436,"WASHER, FLAT 5/16",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00049,2990-01-147-9284,25042462,12436,"VALVE, POSITIVE CRAN",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00050,5342-01-211-2897,12339137,12436,BRACKET ASSY:e c0i006 cee Ges eed See Gee,Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00051,5310-01-155-2503,11514603,12436,"NUT,PLAIN,HEXAGON 10-1.5 MM",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00052,4730-01-088-7798,4816SS-305,12436,CLAMP ; HOSE oo. e.50 20605 sodas gedse Serge eagle eens,Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00053,4720-01-187-3387,LD-1501,12436,"HOSE, PREFORMED",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00054,5310-01-165-3331,11500749,12436,"NUT,PLAIN,HEXAGON 8-1.25 MM",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00055,4720-01-210-0484,5588701,12436,"HOSE, PREFORMED",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00056,2910-01-168-7905,12342893,12436,"PUMP, FUEL,CAM ACTUA",Engine / Fuel,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00057,2910-00-493-2138,3719599,12436,"PLATE,FUEL PUMP",Engine / Fuel,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00058,5330-01-472-8179,12560223,12436,GASKET ii5 giana) sG iiss ee aie aidye a/b ease 8 Oe era eee,Seals / Gaskets,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00059,5306-01-151-4925,11509669,12436,"BOLT,ASSEMBLED WASH 6-1.0 X 13 MM",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00060,5306-01-148-7454,3895411,12436,"BOLT,ASSEMBLED WASH 3/8-16 X 1.44",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00061,4710-01-316-0222,10149554,12436,"TUBE ASSEMBLY,METAL 6.2 LITER, #4",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00062,5325-01-160-4618,23503124,12436,"GROMMET, NONMETALLIC",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00063,5305-01-150-1521,11503617,12436,"SCREW, TAPPING",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00064,5340-01-150-6026,14033955,12436,"CLAMP, LOOP",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00065,4710-01-150-0971,14033916,12436,"TUBE ASSEMBLY,METAL 6.2 LITER, #6",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00066,4710-01-314-4485,10149556,12436,"TUBE ASSEMBLY,METAL 6.2 LITER, #6",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00067,4710-01-411-8489,14098636,12436,"TUBE ASSEMBLY,METAL 6.5 LITER, #6",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00068,4710-01-411-8492,14098638,12436,"TUBE ASSEMBLY,METAL 6.5 LITER, #8",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00069,4710-01-148-9582,14033918,12436,"TUBE ASSEMBLY,METAL 6.2 LITER, #8",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00070,4710-01-314-4484,10149558,12436,"TUBE ASSEMBLY,METAL 6.2 LITER, #8",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00071,4710-01-153-1636,14033915,12436,"TUBE ASSEMBLY,METAL 6.2 LITER, #5 af",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00072,4710-01-314-4487,10149555,12436,"TUBE ASSEMBLY,METAL 6.2 LITER, #5",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00073,4710-01-412-8615,14098633,12436,"TUBE ASSEMBLY,METAL 6.5 LITER, #3",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00074,5340-01-150-7774,14033953,12436,"CLAMP,LOOP L.H",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00075,4710-01-412-1668,14098631,12436,"TUBE ASSEMBLY,METAL 6.5 LITER, #1",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00076,4710-01-149-5075,14033911,12436,"TUBE ASSEMBLY,METAL 6.2 LITER, #1",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00077,4710-01-314-4489,10149551,12436,"TUBE ASSEMBLY,METAL 6.2 LITER, #1",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00078,5340-01-148-7529,560613,12436,GLAMP LOOP 3.53. bond scec dene wd eS eS,Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00079,5340-01-151-9957,14033895,12436,CLAMP; LOOP sc) sco eve y Rae OER S,Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00080,5310-00-809-4058,MS27183-10,96906,"WASHER, FLAT",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00081,5305-01-162-8512,9421073,12436,"SCREW, TAPPING",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00082,2940-01-189-1809,F-6D9K090B,12436,"CAP,AIR CLEANER INT",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00083,4730-00-359-9487,C72P,12436,CLAMP ; HOSE. eo. ster e ccecens eed ie ee ene ee doe aun ees,Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00084,2940-01-188-3224,12338373,12436,SHIELD ASSEMBLY,Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00085,4730-01-189-0871,H68SS,12436,"CLAMP, HOSE",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00086,4720-01-185-8152,12338380,12436,"HOSE, PREFORMED",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00087,4720-01-203-7789,5584588,12436,"HOSE, PREFORMED",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00088,5975-00-074-2072,MS3367-1-9,96906,"STRAP, TIEDOWN, ELECT",Electrical,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00089,4710-01-278-1053,5584559,12436,"TUBE,AIR HORN INTAK",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00090,5310-01-185-7214,12339052,12436,"WASHER, FLAT 5/16",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00091,5310-01-132-8275,9418924,12436,"WASHER, FLAT 5/16",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00092,5306-00-225-8511,MS90725-47,96906,"BOLT,MACHINE 5/16-18 X 3.75",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00093,5330-01-246-1822,12338382,12436,"GASKET oo) 5.56 fi coiess S620 6. 8, Mares ONG SE ew ee awe SSS",Seals / Gaskets,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00094,5340-01-189-9861,5590657,12436,"BRACE, CORNER",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00095,2590-01-471-0236,12339902-13,12436,"PROTECTOR, PAINT",Suspension,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00096,5307-01-150-9538,22515630,12436,"STUD,SHOULDERED 10-1.5 X 20 MM",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00097,5340-00-151-9651,MS21333-129,96906,"CLAMP , LOOP sic seein Seen @ eede S See ade dS",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00098,5310-01-206-7306,11500207,12436,"WASHER, LOCK M10",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00099,5310-01-143-0512,29520052,12436,"NUT MlO se icc iie.s & donk Gee a eee SG, os we ee",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00100,5310-01-210-1587,11500256,12436,"WASHER, FLAT #10",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00101,5306-01-158-9917,DIN933M10X20,12436,"BOLT,MACHINE 10-1.5 X 20MM",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00102,2940-01-188-5117,L-111D30,12436,"AIR CLEANER, INTAKE",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00103,2940-01-188-3776,W-250D53,12436,".FILTER ELEMENT, INTA",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00104,5310-01-211-5037,0-952A59,12436,".NUT, PLAIN, HEXAGON 5/16-18",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00105,2940-01-188-3387,L-563C170,12436,".COVER,AIR CLEANER",Engine,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00106,2520-01-024-1273,L-638C2GS,12436,".BOOT,DUST AND MOIST",Drivetrain,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00107,5340-01-208-8688,5585094,12436,"SHIELD, EXPANSION",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00108,2540-01-196-4726,12338863,12436,"SHIELD,AIR CLEANER",Body / Armor,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00109,5305-00-058-1082,MS51861-34,96906,"SCREW,TAPPING #10-16 X 1/2",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00110,4730-01-210-5785,HTM-1200,12436,"CLAMP, HOSE",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00111,5342-01-187-7029,12338842,12436,"BRACKET, TUBE, DRAINA",Hardware,0,EA,,0.0,0.0,NOS,
